PP of Han	Name of han	Location of han	Nazır	Kefil	Number of shops (oda)	Rum shops	Ermeni shops	Yahudi shops
42	Uzunçarşı başında Pertev Paşa Hanı							
42	Aynalı Han							
42	Nasuh Ağa Hanı							
43	Nasuh Ağa Hanına merbut diğer Han							
43	Kilit Hanı							
43	İğneci Han							
43	Mercan kurbünde Baltacı Hanı							
43	Çarşıda Astarcı Hanı							
44	Büyük Zağfran Hanı							
44	Çarşı-yı kebirde Çukur Han							
44	Büyük Kebeci Hanı							
44	Yorgancılar Suğunda İstanbul Ağası Hanı							
44	Yorgancılar suğunda Yüncü Hanı							
45	Kelle kesen Hanı							
45	Çarşıda Kebeciler Hanı karşusında Yol Geçen Hanı							
45	Yorgancılar Suğunda Ali Paşa Hanı							
46	Camili İmam Hanı							
46	Yorgancılar Suğunda Yarım Han							
46	Sarraf Hanı							
46	Bit Bazar kurbünde Bodrum Hanı							
47	Kalpakçılar Başına Yol Geçen Hanı							
47	Kalpakçılar Başında Sakılı (Sakallı) Han							
48	Sepetçi Hanı							
48	Kalpakçılar Başında Taş Hanı							
48	Mahmud Paşa Başında Sultan odaları							
49	Cafer Ağa Hanı							
49	Hocaoğlu Hanı							
49	Tahta Hanı							
49	Yumurtacı Han							
49	Mahmud Paşa başında Yarım Han							
49	Osmaniye Cami-i şerif tahtında Yarım Han							
49	Kebapçı Hanı							
50	Kalpakçılar başında Baltacı Hanı							
50	Kalpakçılar başında Sorguncu Hanı							
50	Kalpakçılarda Takyeci Han							
50	Hıffaflar Suuğunda Kavukçu Hanı							
51	Mıkrascılar (Makascılar) Han							
51	Parmakkapu kurbünde Hayal Han							
51	Taşracılar Başına Yarım Han							
51	Doğramacı Hanı							
51	Okçular Başına Simkeş Hanı							
52	Hasan Paşa Hanı							
52	Hellaççılar Mahkemesi civarında küfeci odaları							
52	Gedik Paşa kurbünde Papizan Hanı							
52	Irgat Pazarında Tevekkül Hanı							
53	Gedik Paşa kurbünde Sabuncu Hanı							
53	Tükyeci? Takyeci? Hanı							
53	Gedik Paşada Viran Han							
54	Küçük Viran Han							
54	Arayıcı Hanı							
54	Kum Kapı kurbünde Bahçeli Hanı							
54	Karib-i (?) mezkurede Sandalcı Hanı							
54	Karib-i mezkurede Mestçi Hanı							
54	Hoca Hanı							
55	Bahçe kapısı haricinde Taş Han							
55	Bahçe Kapısı haricinde Haraççı hanı							
55	….cılar Suuğunda Ütücü Hanı							
55	Kuşçubaşı Hanı							
55	Ketancılar (Flax, cotton) Kapısı kurbünde Sabuncu Hanı							
55	Leblebeci Hanı							
55	Kırk Dört Kapısında Yeni Han							
56	Ömer Ağa Hanı							
56	Vefa Hanı							
56	Edirne (Orta) Kiracıları Hanı							
56	Şehzadebaşında Tavuk Hanı							
56	Bozmacı Hanı							
57	Doğramacı Hanı							
57	Mürekkepçiler Kapısında Yusef Ağa Hanı							
57	Langa-yı Yeni Kapısı Haricinde Basma Hanı							
58	Davut Paşa İskelesinde Han							
58	Samatya’da Kol-ı Kısa Hanı							
58	Yedi Kule’de Bostancı Hanı							
58	Hekimoğlu Ali Paşa’da Davud Paşa Hanı							
58	Mahal-ı merkumde Kolluk ittisalinde Yarım han							
58	Davud Paşa mahkemesi karşusunda Bozacı Hanı							
59	Kara Gümrük meydanda Taşçı Mehmed Ağa Hanı							
59	Kurb-u mezkurde vak’i Arabacıbaşı Hanı							
59	Kurb-u mezkurde Arif Ağa Hanı							
59	Salih Ağa Hanı							
59	Bağçeli (Bahçeli) Han							
59	Varoş Ağa Hanı							
59	Tütüncü Hanı							
59	Abdi Ağa Hanı							
59	Sultan Mehmed kurbünde Büyük Karaman Solu (Sonu) Han							
60	Karib-i mezkur Şerbethaneli Han							
60	Paçacı Hanı							
60	Çörekçi Kapısında Şekerci Hanı							
60	Karib-i mezkur Yarım Han							
60	Karib-i mezkurde Emirler Hanı							
60	Nakib Hanı							
